Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,18.700000762939453,19.0,18.700000762939453,18.899999618530273,11.11671257019043,1950452
2015-01-02,18.899999618530273,19.200000762939453,18.899999618530273,19.049999237060547,11.204938888549805,3189435
2015-01-05,19.049999237060547,19.149999618530273,18.899999618530273,18.899999618530273,11.11671257019043,1847875
2015-01-06,18.850000381469727,18.850000381469727,18.399999618530273,18.5,10.881438255310059,3339702
2015-01-07,18.600000381469727,18.649999618530273,18.149999618530273,18.25,10.734387397766113,3502444
2015-01-08,18.299999237060547,18.649999618530273,18.299999237060547,18.600000381469727,10.940255165100098,2240276
2015-01-09,18.700000762939453,18.75,18.450000762939453,18.549999237060547,10.910845756530762,2290089
2015-01-12,18.5,18.700000762939453,18.399999618530273,18.600000381469727,10.940255165100098,2673144
2015-01-13,18.600000381469727,18.75,18.399999618530273,18.549999237060547,10.910845756530762,3435110
2015-01-14,18.700000762939453,19.799999237060547,18.700000762939453,19.600000381469727,11.528440475463867,16711949
2015-01-15,19.950000762939453,20.0,19.350000381469727,19.5,11.469625473022461,5024923
2015-01-16,19.5,19.700000762939453,19.25,19.350000381469727,11.38139533996582,3498033
2015-01-19,19.25,19.600000381469727,19.200000762939453,19.299999237060547,11.351985931396484,3960325
2015-01-20,19.25,19.350000381469727,19.0,19.100000381469727,11.23434829711914,2588592
2015-01-21,19.25,19.25,19.0,19.100000381469727,11.23434829711914,2858759
2015-01-22,19.100000381469727,20.0,19.049999237060547,19.899999618530273,11.704895973205566,6091163
2015-01-23,19.950000762939453,20.100000381469727,19.600000381469727,19.850000381469727,11.675490379333496,4099924
2015-01-27,19.700000762939453,19.899999618530273,19.5,19.649999618530273,11.55785083770752,2245670
2015-01-28,19.549999237060547,20.299999237060547,19.5,20.049999237060547,11.793127059936523,5361239
2015-01-29,19.899999618530273,19.950000762939453,19.549999237060547,19.700000762939453,11.704009056091309,6530205
2015-01-30,19.700000762939453,20.0,19.200000762939453,19.25,11.436656951904297,5212636
2015-02-02,19.100000381469727,20.200000762939453,19.100000381469727,19.549999237060547,11.61489200592041,9578903
2015-02-03,19.600000381469727,20.450000762939453,19.5,19.899999618530273,11.822830200195312,14594165
2015-02-04,19.899999618530273,20.299999237060547,19.600000381469727,20.0,11.882244110107422,6430999
2015-02-05,20.0,20.450000762939453,19.75,20.049999237060547,11.911949157714844,10574876
2015-02-06,19.899999618530273,20.149999618530273,19.649999618530273,20.0,11.882244110107422,5831316
2015-02-09,20.0,20.049999237060547,19.700000762939453,19.850000381469727,11.79312801361084,3945615
2015-02-10,19.700000762939453,19.950000762939453,19.549999237060547,19.799999237060547,11.763420104980469,5354275
2015-02-11,19.75,20.200000762939453,19.75,20.049999237060547,11.911949157714844,3765520
2015-02-12,20.200000762939453,20.950000762939453,20.049999237060547,20.75,12.327829360961914,8946922
2015-02-13,20.75,21.0,20.450000762939453,20.899999618530273,12.416943550109863,5065995
2015-02-16,20.399999618530273,21.200000762939453,20.399999618530273,20.649999618530273,12.268414497375488,4641027
2015-02-18,20.600000381469727,21.149999618530273,20.549999237060547,20.850000381469727,12.387238502502441,5784644
2015-02-19,20.75,21.049999237060547,20.399999618530273,20.899999618530273,12.416943550109863,5847135
2015-02-20,20.850000381469727,21.100000381469727,20.649999618530273,20.850000381469727,12.387238502502441,5801996
2015-02-23,20.950000762939453,21.149999618530273,20.600000381469727,21.0,12.47635555267334,6065761
